step,epoch,train_loss,val_loss,miou,fid,control_strength,lr
59,0,0.159360,0.106378,0.000000,242.55,1.0,0.00000590
118,1,0.144495,0.208663,0.000000,239.02,1.0,0.00001000
177,2,0.151607,0.142662,0.000000,231.34,1.0,0.00001000
236,3,0.160785,0.176793,0.000000,226.41,1.0,0.00001000
295,4,0.157532,0.150782,0.000000,217.75,1.0,0.00001000
354,5,0.153525,0.170943,0.000000,208.01,1.0,0.00001000
413,6,0.164685,0.135099,0.000000,203.07,1.0,0.00001000
472,7,0.149597,0.182142,0.000000,198.20,1.0,0.00001000
531,8,0.150505,0.189970,0.000000,195.95,1.0,0.00001000
590,9,0.153278,0.125400,0.000000,188.37,1.0,0.00001000
649,10,0.148370,0.182969,0.000000,184.86,1.0,0.00001000
708,11,0.162691,0.174454,0.000000,183.87,1.0,0.00001000
767,12,0.157749,0.155724,0.000000,181.70,1.0,0.00001000
826,13,0.151846,0.159235,0.000000,175.04,1.0,0.00001000
885,14,0.149840,0.168385,0.000000,172.06,1.0,0.00001000
944,15,0.152208,0.104124,0.000000,169.89,1.0,0.00001000
1000,16,0.154384,0.149081,,,1.0,0.00001000
1003,16,0.152853,0.160250,0.000000,170.08,1.0,0.00001000
1062,17,0.155979,0.106426,0.000000,167.78,1.0,0.00001000
1121,18,0.158382,0.142312,0.000000,170.32,1.0,0.00001000
1180,19,0.145918,0.147722,0.000000,166.84,1.0,0.00001000
1239,20,0.161022,0.105335,0.000000,164.83,1.0,0.00001000
1298,21,0.152504,0.125678,0.000000,162.15,1.0,0.00001000
1357,22,0.146022,0.130519,0.000000,162.30,1.0,0.00001000
1416,23,0.157002,0.195761,0.000000,161.47,1.0,0.00001000
1475,24,0.157034,0.169314,0.000000,160.89,1.0,0.00001000
1534,25,0.159805,0.152409,0.000000,162.69,1.0,0.00001000
1593,26,0.148175,0.127653,0.000000,160.10,1.0,0.00001000
1652,27,0.150549,0.140669,0.000000,160.13,1.0,0.00001000
1711,28,0.163919,0.125834,0.000000,159.76,1.0,0.00001000
1770,29,0.155941,0.130558,0.000000,159.41,1.0,0.00001000
1829,30,0.150171,0.155775,0.000000,158.69,1.0,0.00001000
1888,31,0.149778,0.186996,0.000000,159.90,1.0,0.00001000
1947,32,0.159983,0.139619,0.000000,157.13,1.0,0.00001000
2000,33,0.152108,0.134917,,,1.0,0.00001000
2006,33,0.150721,0.198683,0.000000,159.23,1.0,0.00001000
2065,34,0.149588,0.148031,0.000000,160.37,1.0,0.00001000
2124,35,0.158032,0.114457,0.000000,158.65,1.0,0.00001000
2183,36,0.147626,0.128777,0.000000,158.04,1.0,0.00001000
2242,37,0.143178,0.167710,0.000000,157.19,1.0,0.00001000
2301,38,0.150227,0.142454,0.000000,157.01,1.0,0.00001000
2360,39,0.144910,0.177882,0.000000,154.27,1.0,0.00001000
2419,40,0.156987,0.153326,0.000000,155.70,1.0,0.00001000
2478,41,0.160667,0.172193,0.000000,158.44,1.0,0.00001000
2537,42,0.159516,0.178496,0.000000,157.31,1.0,0.00001000
2596,43,0.158906,0.135689,0.000000,156.76,1.0,0.00001000
2655,44,0.166371,0.124756,0.000000,157.64,1.0,0.00001000
2714,45,0.146862,0.181588,0.000000,158.17,1.0,0.00001000
2773,46,0.147510,0.202029,0.000000,157.13,1.0,0.00001000
2832,47,0.155563,0.112520,0.000000,158.31,1.0,0.00001000
2891,48,0.156930,0.173566,0.000000,157.01,1.0,0.00001000
2950,49,0.155924,0.158546,0.000000,157.11,1.0,0.00001000
